B rank energy bp_bound eig1 eig2 eig3 eig4 eig5 eig6 eig7 eig8 eig9 eig10 eig11 eig12 eig13 eig14 eig15 eig16 eig17 eig18
3.0000 1 1.78778554 1 0.9999999937 0.0000000007 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
3.0500 1 1.83991951 1 1.0000000011 0.0000000015 0.0000000013 0.0000000010 0.0000000009 0.0000000008 0.0000000008 0.0000000007 0.0000000006 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001
3.1000 1 1.89201274 1 0.9999999997 0.0000000013 0.0000000011 0.0000000009 0.0000000008 0.0000000007 0.0000000007 0.0000000006 0.0000000005 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001
3.1500 1 1.94406638 1 0.9999999933 0.0000000008 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001
3.2000 1 1.99608144 1 0.9999999991 0.0000000014 0.0000000012 0.0000000010 0.0000000008 0.0000000008 0.0000000007 0.0000000006 0.0000000006 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001
3.2500 1 2.04805898 1 0.9999999981 0.0000000013 0.0000000011 0.0000000009 0.0000000008 0.0000000007 0.0000000007 0.0000000006 0.0000000005 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001
3.3000 1 2.10000000 1 0.9999999918 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.3500 1 2.15190545 1 1.0000000013 0.0000000017 0.0000000015 0.0000000012 0.0000000010 0.0000000010 0.0000000009 0.0000000008 0.0000000007 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000001
3.4000 1 2.20377628 1 1.0000000033 0.0000000019 0.0000000016 0.0000000013 0.0000000011 0.0000000011 0.0000000009 0.0000000008 0.0000000008 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000001
3.4500 1 2.25561337 1 1.0000000001 0.0000000016 0.0000000014 0.0000000011 0.0000000010 0.0000000009 0.0000000008 0.0000000007 0.0000000007 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000001
3.5000 1 2.30741760 1 1.0000000085 0.0000000027 0.0000000023 0.0000000019 0.0000000017 0.0000000015 0.0000000014 0.0000000012 0.0000000011 0.0000000006 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000002 0.0000000001
3.5500 1 2.35918981 1 0.9999999935 0.0000000008 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001
3.6000 1 2.41093081 1 1.0000000004 0.0000000017 0.0000000015 0.0000000012 0.0000000010 0.0000000010 0.0000000008 0.0000000008 0.0000000007 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000001
3.6500 1 2.46264141 1 1.0000000058 0.0000000019 0.0000000013 0.0000000013 0.0000000010 0.0000000008 0.0000000008 0.0000000007 0.0000000006 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000 0.0000000000
3.7000 1 2.51432234 1 1.0000000047 0.0000000022 0.0000000019 0.0000000015 0.0000000014 0.0000000013 0.0000000011 0.0000000010 0.0000000009 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000001
3.7500 1 2.56597437 1 1.0000000001 0.0000000016 0.0000000014 0.0000000011 0.0000000010 0.0000000010 0.0000000008 0.0000000007 0.0000000007 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000001
3.8000 1 2.61759819 1 0.9999999958 0.0000000011 0.0000000010 0.0000000008 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001
3.8500 1 2.66919451 1 0.9999999917 0.0000000005 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000
3.9000 1 2.72076399 1 0.9999999934 0.0000000008 0.0000000008 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001
3.9500 1 2.77230728 1 1.0000000009 0.0000000017 0.0000000015 0.0000000012 0.0000000011 0.0000000010 0.0000000009 0.0000000008 0.0000000007 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000001
4.0000 1 2.82382502 1 0.9999999966 0.0000000013 0.0000000011 0.0000000009 0.0000000008 0.0000000008 0.0000000006 0.0000000006 0.0000000005 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001
4.0500 1 2.87531781 1 0.9999999990 0.0000000015 0.0000000014 0.0000000011 0.0000000010 0.0000000009 0.0000000008 0.0000000007 0.0000000007 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000001
4.1000 1 2.92678625 1 1.0000000019 0.0000000019 0.0000000017 0.0000000014 0.0000000013 0.0000000012 0.0000000010 0.0000000009 0.0000000008 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000001
4.1500 1 2.97823091 1 1.0000000004 0.0000000017 0.0000000016 0.0000000013 0.0000000011 0.0000000011 0.0000000009 0.0000000008 0.0000000008 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000001
4.2000 1 3.02965234 1 0.9999999943 0.0000000009 0.0000000008 0.0000000007 0.0000000006 0.0000000006 0.0000000004 0.0000000004 0.0000000004 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001
4.2500 1 3.08105108 1 0.9999999944 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.3000 1 3.13242767 1 0.9999999992 0.0000000015 0.0000000014 0.0000000011 0.0000000010 0.0000000009 0.0000000007 0.0000000007 0.0000000007 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000001
4.3500 1 3.18378260 1 0.9999999956 0.0000000010 0.0000000010 0.0000000008 0.0000000007 0.0000000007 0.0000000005 0.0000000005 0.0000000005 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001
4.4000 1 3.23511637 1 1.0000000098 0.0000000030 0.0000000027 0.0000000022 0.0000000020 0.0000000019 0.0000000015 0.0000000014 0.0000000013 0.0000000007 0.0000000006 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000003 0.0000000003 0.0000000001
4.4500 1 3.28642947 1 0.9999999972 0.0000000013 0.0000000012 0.0000000009 0.0000000009 0.0000000008 0.0000000006 0.0000000006 0.0000000006 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000001
4.5000 1 3.33772234 1 0.9999999921 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000
4.5500 1 3.38899545 1 1.0000000073 0.0000000026 0.0000000023 0.0000000019 0.0000000017 0.0000000016 0.0000000013 0.0000000012 0.0000000011 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000001
4.6000 1 3.44024923 1 0.9999999997 0.0000000015 0.0000000014 0.0000000011 0.0000000010 0.0000000010 0.0000000008 0.0000000007 0.0000000007 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000001
4.6500 1 3.49148411 1 0.9999999935 0.0000000007 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001
4.7000 1 3.54270050 1 0.9999999950 0.0000000010 0.0000000009 0.0000000007 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001
